[07/Nov/2018:09:39:48 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:39:48 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (8 ms)
[07/Nov/2018:09:39:48 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (13 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (13 ms)
[07/Nov/2018:09:40:05 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (4 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (13 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (7 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (5 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /test1 HTTP/1.1" 200 - (6 ms)
[07/Nov/2018:09:40:06 +0800] 0:0:0:0:0:0:0:1 "GET /favicon.ico HTTP/1.1" 200 - (4 ms)
